Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_ankle_roll_link,0.00491486830014524,0.000207604668388484,-0.0302785698030004,0,0,0,0.759386214350649,0.000326161040900684,2.51083583015093E-08,-7.38486151910918E-05,0.00149968755776221,1.11563352956936E-08,0.00175283972946126,0,0,0,0,0,0,package://humanoidultra01/meshes/right_ankle_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/right_ankle_roll_link.STL,,足部-2,right_ankle_roll_axis,right_ankle_roll,right_ankle_roll_joint,revolute,0,0,0,0,-0.0428243667780054,0,right_ankle_pitch_link,0.996194698091745,0,-0.0871557427476598,72,12.56,-3.14,3.14,,,,,,,,
trunk_link,-0.00413337375411874,1.22997804497399E-05,0.190433482509423,0,0,0,11.2484619397318,0.027917481659471,-2.69225911521734E-06,-6.12408265049444E-06,0.0190744230663601,9.30438849025364E-07,0.0386764698326308,0,0,0,0,0,0,package://humanoidultra01/meshes/trunk_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/trunk_link.STL,,身体1-1,waist_link_axis,waist,waits_yaw_joint,revolute,0,0,0.0611,0,0,0,base_link,0,0,1,150,12.56,-3.14,3.14,,,,,,,,
left_shoulder_pitch_link,0.00224993521419818,0.0554427350367464,2.91481876853183E-06,0,0,0,0.699599944998257,0.000333054411669945,9.3016710068386E-06,-3.9327817271631E-11,0.000271810318219983,-2.95404944517625E-09,0.000296763607653187,0,0,0,0,0,0,package://humanoidultra01/meshes/left_shoulder_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/left_shoulder_pitch_link.STL,,肩关节pitch装配体-2,left_shoulder_pitch_axis,left_shoulder_pitch,left_shoulder_pitch_joint,revolute,0,0.128943749506644,0.352787572334531,0.261799387799149,0,0,trunk_link,0,-1,0,72,12.56,-3.14,3.14,,,,,,,,
left_shoulder_roll_link,-0.00198821812431173,0.0492477677168718,-0.0480866999826928,0,0,0,0.763679244667034,0.000504919780023678,-6.90868360648673E-08,-1.47096207797896E-08,0.000619670608308065,-7.67008603536387E-05,0.000630574704470855,0,0,0,0,0,0,package://humanoidultra01/meshes/left_shoulder_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/left_shoulder_roll_link.STL,,肩关节roll装配体左-1,left_shoulder_roll_axis,left_shoulder_roll,left_shoulder_roll_joint,revolute,0,0.0630000000000002,0,-0.26179938779915,0,0,left_shoulder_pitch_link,1,0,0,72,12.56,-3.14,3.14,,,,,,,,
left_shoulder_yaw_link,-0.00470981097085555,0.000549022446119124,-0.118134381248036,0,0,0,0.780582432513932,0.000386095381083491,-9.06920449846074E-07,-8.9936032483685E-06,0.00034210177705632,-3.51765701514661E-06,0.000287887677275144,0,0,0,0,0,0,package://humanoidultra01/meshes/left_shoulder_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/left_shoulder_yaw_link.STL,,肩关节yaw装配体左-1,left_shoulder_yaw_axis,left_shoulder_yaw,left_shoulder_yaw_joint,revolute,0,0.065813,-0.091069,0.2618,0,0,left_shoulder_roll_link,0,0,1,72,12.56,-3.14,3.14,,,,,,,,
left_elbow_link,0.00525169332746261,0.000249071177622712,-0.0583262970719424,0,0,0,0.534590476901763,0.000277281702872867,-2.74151269042022E-09,4.68816163495846E-05,0.000276875491397708,-5.40173458594322E-09,0.000232895174366325,0,0,0,0,0,0,package://humanoidultra01/meshes/left_elbow_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/left_elbow_link.STL,,肘关节装配体-2,left_elbow_axis,left_elbow,left_elbow_joint,revolute,0,-0.00025881904510211,-0.151965925826289,0,0,0,left_shoulder_yaw_link,-1,0,0,72,12.56,-3.14,3.14,,,,,,,,
left_wrist_yaw_link,0.00280744955724897,6.67043996993577E-05,-0.0558978875568028,0,0,0,0.633010679650443,0.000313575385084838,-5.1887381911881E-11,-8.19791003493657E-06,0.000256566200859099,-1.03101106003576E-08,0.00023087061140068,0,0,0,0,0,0,package://humanoidultra01/meshes/left_wrist_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/left_wrist_yaw_link.STL,,腕关节yaw装配体左-1,left_wrist_yaw_axis,left_wrist_yaw,left_wrist_yaw_joint,revolute,0,0,-0.0915,0,0,0,left_elbow_link,0,0,1,30,-12.56,-3.14,3.14,,,,,,,,
left_wrist_roll_link,-0.00300544507609364,0.00402373201407749,-0.0517959075089011,0,0,0,0.613946098988018,0.00022551829682228,-3.52944485906679E-11,2.79157130025308E-09,0.000395017647819187,1.10965621849713E-05,0.000265076441753703,0,0,0,0,0,0,package://humanoidultra01/meshes/left_wrist_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/left_wrist_roll_link.STL,,腕关节roll装配体左-1,left_wrist_roll_axis,left_wrist_roll,left_wrist_roll_joint,revolute,0,0.00025882,-0.064034,0,0,0,left_wrist_yaw_link,-1,0,0,30,12.56,-3.14,3.14,,,,,,,,
left_wrist_pitch_link,0.0048655807380076,-0.00565958553126944,-0.0996827452177363,0,0,0,0.374641787454108,0.000617216474534499,-7.58628905956619E-06,-1.78324834102132E-05,0.000709709484696719,7.58976653623764E-05,0.000243652531841784,0,0,0,0,0,0,package://humanoidultra01/meshes/left_wrist_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/left_wrist_pitch_link.STL,,腕关节pitch装配体左-1,left_wrist_pitch_axis,left_wrist_pitch,left_wrist_pitch_joint,revolute,0,0,-0.065,0,0,0,left_wrist_roll_link,0,-1,0,30,12.56,-3.14,3.14,,,,,,,,
right_shoulder_pitch_link,0.00224993529587725,-0.0554427337373842,-2.91494580694635E-06,0,0,0,0.699599888622128,0.000333054360373888,-9.30168044264515E-06,5.70720976044122E-11,0.000271810291992975,-3.01082970770197E-09,0.000296763546909302,0,0,0,0,0,0,package://humanoidultra01/meshes/right_shoulder_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/right_shoulder_pitch_link.STL,,肩关节pitch装配体-1,right_shoulder_pitch_axis,right_shoulder_pitch,right_shoulder_pitch_joint,revolute,0,-0.128943749506644,0.352787572334531,-0.26179938779915,0,0,trunk_link,0,-1,0,72,12.56,-3.14,3.14,,,,,,,,
right_shoulder_roll_link,-0.00198292417651385,-0.0492477680338887,-0.048086699503585,0,0,0,0.76367925764187,0.000504919785951473,7.28646711974799E-08,-2.46889648035824E-08,0.000619670663913179,7.67008593191652E-05,0.00063057477431973,0,0,0,0,0,0,package://humanoidultra01/meshes/right_shoulder_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/right_shoulder_roll_link.STL,,肩关节roll装配体-1,right_shoulder_roll_axis,right_shoulder_roll,right_shoulder_roll_joint,revolute,0,-0.063,0,0.26179938779915,0,0,right_shoulder_pitch_link,-1,0,0,72,12.56,-3.14,3.14,,,,,,,,
right_shoulder_yaw_link,-0.00470981956317605,-0.00054384971839827,-0.118134383108282,0,0,0,0.780582685516293,0.000386095487271327,9.15777527690773E-07,-8.99343168763861E-06,0.000342101998642241,3.51157840071902E-06,0.000287887985133057,0,0,0,0,0,0,package://humanoidultra01/meshes/right_shoulder_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/right_shoulder_yaw_link.STL,,肩关节yaw装配体右-1,right_shoulder_yaw_axis,right_shoulder_yaw,right_shoulder_yaw_joint,revolute,0,-0.065813,-0.091069,-0.2618,0,0,right_shoulder_roll_link,0,0,1,72,12.56,-3.14,3.14,,,,,,,,
right_elbow_link,0.00525168744097184,-0.000268584479066136,-0.058326300684827,0,0,0,0.534590203108521,0.000277281431816541,-3.42407658770495E-09,4.68816223883118E-05,0.000276875794457164,-5.57919166335047E-09,0.00023289528301379,0,0,0,0,0,0,package://humanoidultra01/meshes/right_elbow_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/right_elbow_link.STL,,肘关节装配体-1,right_elbow_axis,right_elbow,right_elbow_joint,revolute,0,0.00025881904510261,-0.151965925826289,0,0,0,right_shoulder_yaw_link,-1,0,0,72,12.56,-3.14,3.14,,,,,,,,
right_wrist_yaw_link,0.00280744979306237,-6.67138691067826E-05,-0.0558978888519393,0,0,0,0.633010698274777,0.000313575430352701,-5.4856910025592E-11,-8.19790676818847E-06,0.000256566222531611,1.60148205351879E-08,0.000230870640959646,0,0,0,0,0,0,package://humanoidultra01/meshes/right_wrist_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/right_wrist_yaw_link.STL,,腕关节yaw装配体右-2,right_wrist_yaw_axis,right_wrist_yaw,right_wrist_yaw_joint,revolute,0,0,-0.0915,0,0,0,right_elbow_link,0,0,1,30,6.28,-3.14,3.14,,,,,,,,
right_wrist_roll_link,-0.00316436980889439,-0.00397972769532134,-0.0515206548579093,0,0,0,0.617375935532278,0.000225524905037623,-3.52926468979126E-11,-2.79154498101839E-09,0.000395053836419783,-1.10965621862382E-05,0.000265112630358063,0,0,0,0,0,0,package://humanoidultra01/meshes/right_wrist_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/right_wrist_roll_link.STL,,腕关节roll装配体-1,right_wrist_roll_axis,right_wrist_roll,right_wrist_roll_joint,revolute,0,-0.00025882,-0.064034,0,0,0,right_wrist_yaw_link,-1,0,0,30,12.56,-3.14,3.14,,,,,,,,
right_wrist_pitch_link,0.00486558787758789,0.00565958553126911,-0.0996827452177362,0,0,0,0.374641787454108,0.000617216474534501,7.58623751074826E-06,-1.78325458804616E-05,0.00070970948469672,-7.58976653623759E-05,0.000243652531841784,0,0,0,0,0,0,package://humanoidultra01/meshes/right_wrist_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/right_wrist_pitch_link.STL,,腕关节pitch装配体右-2,right_wrist_pitch_axis,right_wrist_pitch,right_wrist_pitch_joint,revolute,0,0,-0.065,0,0,0,right_wrist_roll_link,0,1,0,30,12.56,-3.14,3.14,,,,,,,,
