0.0088421358,-0.5320596099,0.7930791116,-0.0044530602,-0.0018493459,-0.7108934522,0.7032831907,0.0796067491,-0.0257456470,0.1405078322,-0.0365998447,-0.0931590348,-0.1298550069,0.0403585993,-0.0086767040,-0.3648829162,-0.0372267962,0.0512438230,0.0109319240,-0.0055074464,0.0005686532,0.0633096099,-0.1297388822,1.2880991697,0.0316403545,1.4770228863,-0.2664794922,0.1946296394,-0.1927268058,0.1836241633,-1.3000943661,-0.2668327689,1.4533275366,0.2383450121,0.0017971833,-0.0773444548
0.0088936044,-0.5322346687,0.7930335736,-0.0081537822,-0.0045773727,-0.7174711227,0.6965254545,0.0998692214,-0.0238958877,0.1563527584,-0.0516055934,-0.0928234905,-0.1312313229,0.0528615005,-0.0010441106,-0.3430103064,-0.0495227203,0.0568901338,0.0106847314,0.0154566616,0.0030311989,0.0720363408,-0.1335411966,1.2865839005,0.0270091575,1.4866744280,-0.2652684450,0.1802855879,-0.1967136711,0.1879267842,-1.3002731800,-0.2708525062,1.4645773172,0.2373293787,-0.0154203922,-0.0734201446
0.0088850819,-0.5322089791,0.7930083013,-0.0101174237,-0.0062182997,-0.7205458879,0.6933055520,0.1087588146,-0.0226413161,0.1655064225,-0.0553642288,-0.0924286917,-0.1318001151,0.0587733239,0.0016554045,-0.3335036933,-0.0531857610,0.0594318733,0.0101841651,0.0247588698,0.0036517521,0.0776014253,-0.1344547123,1.2862226963,0.0267598126,1.4899376631,-0.2647300959,0.1749785841,-0.1981463879,0.1879848987,-1.2998563051,-0.2713174820,1.4684994221,0.2374591082,-0.0216434039,-0.0722322538
0.0088879950,-0.5321990252,0.7929941154,-0.0110424226,-0.0069988389,-0.7219868302,0.6917832494,0.1124285311,-0.0219914839,0.1699049771,-0.0559276938,-0.0930730179,-0.1321678758,0.0613940954,0.0027933510,-0.3292042613,-0.0544484779,0.0603992306,0.0098306192,0.0287702344,0.0039342558,0.0802785605,-0.1347122341,1.2859188318,0.0264439303,1.4912697077,-0.2649093270,0.1731622666,-0.1985367388,0.1872337461,-1.2996383905,-0.2709003985,1.4699462652,0.2374890149,-0.0239092018,-0.0718313232
0.0088917278,-0.5322033167,0.7929887509,-0.0114797736,-0.0073539745,-0.7226562500,0.6910731196,0.1141317859,-0.0216907449,0.1718520820,-0.0561739132,-0.0935336947,-0.1320663393,0.0623818599,0.0031996337,-0.3273889124,-0.0544989929,0.0607027858,0.0095936116,0.0307514537,0.0040399032,0.0814732462,-0.1350507140,1.2855119705,0.0268542897,1.4915689230,-0.2643072009,0.1726418287,-0.1984429210,0.1868645549,-1.2992746830,-0.2712029815,1.4703655243,0.2370198965,-0.0246847812,-0.0717087463
0.0088910023,-0.5322020054,0.7929866052,-0.0116624068,-0.0075265602,-0.7229527235,0.6907581091,0.1148911119,-0.0215440691,0.1728351861,-0.0562781133,-0.0940503180,-0.1328861415,0.0628387555,0.0033282889,-0.3266375959,-0.0545630455,0.0606140941,0.0095671099,0.0315723047,0.0041408781,0.0819446519,-0.1352252513,1.2850326300,0.0274405181,1.4915436506,-0.2635237575,0.1726131141,-0.1983180940,0.1863914430,-1.2991578579,-0.2710738182,1.4703885317,0.2366414070,-0.0248608980,-0.0716213584
0.0088750916,-0.5322030783,0.7929836249,-0.0117594292,-0.0075871265,-0.7231074572,0.6905937791,0.1152491271,-0.0214139484,0.1733367294,-0.0563611910,-0.0945025757,-0.1329391003,0.0630520135,0.0035301168,-0.3260278702,-0.0546070226,0.0607341826,0.0094139231,0.0321569443,0.0040082918,0.0820148811,-0.1355366558,1.2848787308,0.0275411103,1.4913082123,-0.2629899681,0.1727244258,-0.1981741190,0.1862988174,-1.2986764908,-0.2710808814,1.4702166319,0.2363781035,-0.0248760916,-0.0716011599
0.0088923192,-0.5322089195,0.7929672933,-0.0117967911,-0.0076033999,-0.7232001424,0.6904958487,0.1153947935,-0.0214172974,0.1734431684,-0.0563082807,-0.0945106819,-0.1322368681,0.0631524250,0.0036440392,-0.3255194724,-0.0547194071,0.0607300363,0.0095798597,0.0322745666,0.0041779601,0.0819802731,-0.1354775429,1.2845579386,0.0279561430,1.4911186695,-0.2626612782,0.1729085147,-0.1980793327,0.1856768578,-1.2984889746,-0.2713980377,1.4700610638,0.2355126590,-0.0248384383,-0.0716302022
0.0089021716,-0.5322343111,0.7929543591,-0.0118378149,-0.0076279975,-0.7232699394,0.6904217601,0.1155777648,-0.0213680118,0.1737442762,-0.0563465096,-0.0948669463,-0.1326998174,0.0632080957,0.0036267277,-0.3254737556,-0.0545600951,0.0607861876,0.0096508591,0.0324511826,0.0041464847,0.0818481743,-0.1358466297,1.2844349146,0.0277721342,1.4910677671,-0.2625184357,0.1730603576,-0.1979691386,0.1851902604,-1.2982492447,-0.2714518011,1.4700498581,0.2349027097,-0.0248303767,-0.0715719536
0.0088761244,-0.5322586894,0.7929491735,-0.0118735461,-0.0076477448,-0.7233715653,0.6903144717,0.1157431677,-0.0212742388,0.1740148962,-0.0563291125,-0.0951673687,-0.1322474927,0.0632627457,0.0037589483,-0.3251558244,-0.0545437224,0.0609936379,0.0093793422,0.0326387696,0.0041097263,0.0816892087,-0.1362738460,1.2842881680,0.0270706248,1.4910601377,-0.2628369033,0.1732111573,-0.1977966130,0.1845859885,-1.2979750633,-0.2712891102,1.4699801207,0.2344694138,-0.0248353593,-0.0716070458
